,Unnamed: 0,Star_name,Distance,Mass,Radius
0,2,LHS 102BC,,,2002.0
1,14,2MASS J00034227-2822410,,,
2,31,2MASS J02511327+0047364,,,
3,117,TWA 27A,,,
4,118,TWA 27B,,,
5,177,2MASS J14112131-2119503,,,
6,26,2MASS J02103857-3015313,101.0,1.53,
7,129,2MASS J13204427+0409045,101.0,1.01,
8,194,WISE 0038+8405,101.8,,2010.0
9,67,2MASS J06085283-2753583,102.0,1.51,
10,273,WISE 1147-2040,102.0,,2010.0
11,140,CFBDSIR 1458+10A,104.0,1.5,2010.0
12,141,CFBDSIR 1458+10B,104.0,1.3,2010.0
13,168,2MASS J20004841-7523070,105.0,1.88,
14,215,WISE 0316+4307,106.3,,2010.0
15,314,WISE 1830+4542,107.0,,2010.0
16,99,2MASSI J1017075+130839 [de],108.0,,2003.0
17,171,2MASSW J2101154+175658,108.0,,
18,288,WISE 1506+7027,11.1,,2010.0
19,157,2MASS J16262034+3925190 [de],110.0,1.03,2004.0
20,25,SDSS J020742.48+000056.2 [de],111.0,0.97,
21,350,WISEA 1101+5400,111.0,,2017.0
22,174,HB 2124-4228,113.0,1.21,
23,161,2MASSI J1726000+153819,114.0,1.4,
24,124,2MASSW J1239272+551537 [de],119.0,,2000.0
25,32,Teegarden's star,12.578,1.27,2003.0
26,351,2M1510,120.0,,2002.0
27,115,2MASS J11544223-3400390 [de],129.0,1.5,2003.0
28,104,DEN 1048-3956,13.15,1.07,2000.0
29,75,UGPS J072227.51-054031.2,13.4,0.98,2010.0
30,20,2MASS J01415823-4633574 [de],130.0,1.61,
31,48,DENIS-P J035726.9-441730 [de],130.0,,
32,8,2MASS J00332386-1521309 [de],131.0,1.43,
33,315,WISE 1841+7000,131.1,,2010.0
34,113,TWA 26,137.0,2.2,
35,166,2MASSW J1841086+311727,138.0,1.01,
36,53,2MASS J04362788-4114465,142.0,1.97,
37,198,WISE 0106+1518,142.9,,2010.0
38,4,2MASS J00250365+4759191AB,143.0,,
39,185,2MASS J23225299-6151275,148.0,1.59,
40,134,SDSS J141659.78+500626.4 [de],149.0,0.99,2006.0
41,28,2MASS J02411151-0326587 [de],152.0,1.41,
42,179,2MASSW J2208136+292121,154.0,1.41,
43,27,2MASS J02340093-6442068,155.0,1.62,
44,82,DENIS J081730.0-615520,16.1,0.94,2010.0
45,35,DEN 0255-4700,16.2,0.97,2006.0
46,299,WISE 1639-6847,16.3,,2010.0
47,19,2MASSI J0117474-340325 [de],163.0,1.62,
48,109,Cha 110913-773444,163.0,1.8,2005.0
49,95,2MASS 0939−2448,17.4,0.95,2005.0
50,223,WISE 0350-5658,17.7,,2010.0
51,112,2MASS J11145133−2618235,18.2,0.96,2005.0
52,165,LSR J1835+3259,18.5,1.07,2003.0
53,49,2MASS J04151954−0935066,18.6,0.95,2002.0
54,307,WISE 1741+2553,18.9,,2010.0
55,108,TWA 28,180.0,2.39,
56,33,2MASS J02535980+3206373,184.0,1.9,
57,224,WISE 0359-5401,19.2,,2010.0
58,1,2MASS J00040288-6410358,192.0,1.63,
59,38,2MASS J03231002-4631237,192.0,1.66,
60,225,WISE 0410+1502,20.0,1.17,2010.0
61,292,WISE 1541-2250,20.0,,2010.0
62,306,WISE 1738+2732,20.0,,2010.0
63,94,2MASSI J0937347+293142,20.0,0.94,2002.0
64,202,WISE 0146+4234,20.5,,2010.0
65,143,2MASS 1503+2525,20.7,0.94,2003.0
66,43,LP 944-20,20.9,1.43,
67,119,2MASS J12074836-3900043,217.0,1.71,
68,318,WISE 1928+2356,22.8,,2010.0
69,188,WISE 0005+3737,23.2,,2010.0
70,249,WISE 0713-2917,23.2,,2010.0
71,89,2MASSI J0835425-081923 [de],23.53,1.0,2003.0
72,146,2MASS 1507−1627,23.9,0.99,2000.0
73,5,2MASS J00274197+0503417,236.0,1.44,
74,34,WISE J0254+0223,24.0,1.9,
75,197,WISE 0049+2151,24.1,,2010.0
76,326,WISE 2056+1459,24.5,,2010.0
77,284,WISE 1405+5534,25.3,0.86,2010.0
78,238,WISE 0607+2429,25.4,,2010.0
79,77,2MASS J07290002-3954043 [de],25.8,0.94,2007.0
80,176,2MASS J21481628+4003593,26.3,0.99,
81,331,WISE 2220-3628,26.4,,2010.0
82,125,TWA 29,262.0,25.0,
83,42,2MASS J03341218-4953322,27.0,1.04,
84,91,2MASS J08533619-0329321,27.6,1.07,
85,159,WISEPA J164715.59+563208.2,28.0,0.94,
86,214,WISE 0313+7807,28.0,,2010.0
87,247,WISE 0647-6232,28.0,,2010.0
88,300,WISE 1647+5632,28.0,,2010.0
89,10,2MASS 0036+1821,28.6,0.94,2000.0
90,309,WISE 1800+0134,28.7,,2010.0
91,54,2MASS J04390101-2353083 [de],29.5,0.97,2003.0
92,76,2MASSI J0727182+171001 [de],29.6,0.94,2002.0
93,133,ULAS J141623.94+134836.3,29.7,0.96,
94,47,2MASS J03552337+1133437,29.8,1.32,2006.0
95,16,CFBDS J005910.90–011401.3,30.0,,2013.0
96,203,WISE 0148-7202,30.0,,2010.0
97,310,WISE 1804+3117,30.0,,2010.0
98,9,2MASS J00345157+0523050,31.0,0.94,
99,116,2MASSW J1155395-372735 [de],31.0,1.0,2002.0
100,257,WISE 0811-8051,32.0,,2010.0
101,175,2MASS J21392676+0220226,32.1,0.96,
102,295,WISE 1614+1739,32.6,,2010.0
103,274,WISE 1150+6302,32.9,,2010.0
104,280,WISE 1318-1758,32.9,,2010.0
105,282,WISE 1322-2340,33.9,,2010.0
106,13,2MASS J00501994-3322402 [de],34.0,0.94,
107,52,2MASS J04351612-1606574,34.0,1.26,
108,65,2MASS J05591914-1404488 [de],34.0,,2000.0
109,149,2MASSW J1515008+484742 [de],34.0,0.99,2003.0
110,275,WISE 1217+1626A,34.2,,2010.0
111,276,WISE 1217+1626B,34.2,,2010.0
112,321,WISE 2030+0749,34.2,,2010.0
113,103,2MASS J1047538+212423 [de],34.4,0.94,1999.0
114,66,LSR 0602+3910 [de],34.6,1.41,2003.0
115,252,WISE 0734-7157,34.9,,2010.0
116,29,2MASS J02431371−2453298,35.0,0.99,2002.0
117,85,2MASS J08251968+2115521 [de],35.0,0.98,2000.0
118,181,2MASS J22282889-4310262,35.0,0.94,2013.0
119,142,TVLM 513-46546,35.1,1.05,
120,229,WISE 0458+6434A,35.9,4.2,2010.0
121,230,WISE 0458+6434B,35.9,3.8,2010.0
122,338,WISE 2313-8037,35.9,,2010.0
123,120,2MASSI J1217110-031113 [de],36.0,0.94,1999.0
124,156,SDSSp J162414.37+002915.6 [de],36.0,0.94,1999.0
125,313,WISE 1828+2650,36.0,,2010.0
126,219,WISE 0325+0831,36.5,,2010.0
127,193,WISE 0038+2758,36.9,,2010.0
128,152,2MASS J15462718-3325111 [de],37.0,0.94,2002.0
129,246,WISE 0627-1114,37.2,,2010.0
130,320,WISE 1959-3338,37.2,,2010.0
131,244,WISE 0623-0456,37.5,,2010.0
132,340,WISE 2325-4105,37.5,,2010.0
133,3,2MASS J00242463-0158201,37.7,1.09,
134,343,WISE 2340-0745,37.8,,2010.0
135,126,SDSSp J125453.90-012247.4 [de],38.0,0.98,2000.0
136,135,DENIS-P J142527.97-365023.4 [de],38.0,1.32,2004.0
137,180,2MASSW J2224438-015852,38.0,0.99,
138,136,LHS 2924,38.5,1.06,
139,256,WISE 0759-4904,38.8,,2010.0
140,45,Teide 1,380.0,3.78,1995.0
141,70,2MASS J06244595-4521548 [de],39.0,0.99,2008.0
142,164,2MASS J18283572-4849046,39.0,0.95,
143,255,WISE 0751-7634,39.1,,2010.0
144,301,WISE 1653+4444,39.5,,2010.0
145,12,WISEP J004701.06+680352.1 [fr],40.0,1.3,
146,62,2MASS J0523−1403,40.0,1.01,
147,73,2MASS J07003664+3157266 [de],40.0,,2003.0
148,270,WISE 1051-2138,40.8,,2010.0
149,293,WISE 1542+2230,41.1,,2010.0
150,64,SDSS J053951.99-005902.0,41.62,1.01,
151,57,2MASS J04455387-3048204 [de],42.0,1.0,2003.0
152,262,WISE 0857+5604,42.1,,2010.0
153,325,WISE 2019-1148,42.4,,2010.0
154,327,WISE 2134-7137,42.7,,2010.0
155,349,WISE 2359-7335,42.7,,2010.0
156,86,SDSSp J083008.12+482847.4 [de],43.0,0.99,2002.0
157,90,2MASSI J0847287-153237 [de],43.0,1.0,2003.0
158,121,2MASS J12255432-2739466,43.0,,
159,59,2MASS J05002100+0330501 [de],44.0,1.0,2008.0
160,154,2MASSW J1555157-095605 [de],44.0,1.03,2002.0
161,278,WISE 1311+0122,44.4,,2010.0
162,319,WISE 1952+7240,44.4,,2010.0
163,232,WISE 0513+0608,44.7,,2010.0
164,336,WISE 2255-3118,44.7,,2010.0
165,36,2MASS J03185403-3421292 [de],45.0,0.97,2008.0
166,332,WISE 2226+0440,45.0,,2010.0
167,217,WISE 0323-6025,45.3,,2010.0
168,123,2M 1237+6526,45.6,0.94,2003.0
169,221,WISE 0335+4310,45.7,,2010.0
170,250,WISE 0723+3403,45.7,,2010.0
171,97,2MASS J10073369-4555147,46.0,0.94,
172,145,2MASSW J1506544+132106 [de],46.0,1.02,2000.0
173,167,2MASS J18432213+4040209,46.0,1.22,
174,259,WISE 0819-0335,46.0,,2010.0
175,329,WISE 2209-2734,46.0,,2010.0
176,334,WISE 2237+7228,46.0,,2010.0
177,346,WISE 2344+1034,46.0,,2010.0
178,0,SDSS J000013.54+255418.6 [de],46.1,0.99,2004.0
179,6,2MASS J00275592+2219328,46.9,,
180,37,2MASS J03205965+1854233,47.0,1.15,
181,137,2MASS J14392837+1929150,47.0,1.03,
182,139,2MASS J14482563+1031590 [de],47.0,0.99,2003.0
183,170,2MASSI J2057540-025230,47.0,1.02,
184,207,WISE 0223-2932,47.0,,2010.0
185,231,WISE 0500-1223,47.0,,2010.0
186,235,WISE 0535-7500,47.0,,2010.0
187,312,WISE 1812+2721,47.0,,2010.0
188,253,WISE 0744+5628,47.3,,2010.0
189,268,WISE 1039-1600,47.3,,2010.0
190,195,WISE 0040+0900,47.6,,2010.0
191,266,WISE 1018-2445,47.6,,2010.0
192,324,WISE 2018-7423,47.9,,2010.0
193,55,2MASS J04414489+2301513,470.0,,2010.0
194,46,2MASS J03510004-0052452,48.0,1.27,
195,131,SDSSp J134646.45-003150.4 [de],48.0,0.94,2000.0
196,155,2MASS J16150413+1340079 [de],48.0,0.94,2007.0
197,190,WISE 0015-4615,48.6,,2010.0
198,345,WISE 2343-7418,48.6,,2010.0
199,78,SDSS J074201.41+205520.5 [de],49.0,0.94,2004.0
200,107,DENIS-P J1058.7−1548,49.0,1.0,1997.0
201,79,2MASS J0746425+200032 [fr],49.6,,1999.0
202,50,SDSSp J042348.57-041403.5 [de],50.0,,2002.0
203,92,2MASSI J0859254-194926 [de],50.0,0.98,2003.0
204,158,2MASSW J1632291+190441 [de],50.0,0.97,1999.0
205,242,WISE 0614+3912,50.2,,2010.0
206,296,WISE 1617+1807,50.2,,2010.0
207,298,WISE 1627+3255,50.2,,2010.0
208,237,WISE 0542-1628,50.6,,2010.0
209,272,WISE 1124-0421,50.6,,2010.0
210,323,WISE 2015+6646,50.6,,2010.0
211,290,WISE 1519+7009,50.9,,2010.0
212,18,SDSSp J010752.33+004156.1 [de],51.0,0.98,
213,72,DENIS-P J0652197-253450 [de],51.0,1.05,2008.0
214,132,2MASS J13595510-4034582,51.0,1.0,
215,151,DENIS-P J153941.96-052042.4 [de],51.0,1.0,2004.0
216,218,WISE 0325-3854,51.2,,2010.0
217,344,WISE 2342+0856,51.2,,2010.0
218,243,WISE 0614+0951,51.5,,2010.0
219,254,WISE 0750+2725,51.5,,2010.0
220,263,WISE 0906+4735,51.5,,2010.0
221,317,WISE 1906+4508,51.5,,2010.0
222,287,WISE 1457+5815,52.2,,2010.0
223,297,WISE 1622-0959,52.2,,2010.0
224,339,WISE 2319-1844,52.2,,2010.0
225,30,LP 771-21,53.0,1.08,
226,102,2MASSW J1036530-344138 [de],53.0,0.97,2002.0
227,147,TVLM 868-110639,53.0,1.08,
228,269,WISE 1042-3842,53.2,,2010.0
229,333,WISE 2237-0614,53.5,,2010.0
230,209,WISE 0241-3653,53.8,,2010.0
231,248,WISE 0656+4205,54.1,,2010.0
232,347,WISE 2348-1028,54.1,,2010.0
233,220,WISE 0333-5856,54.8,,2010.0
234,348,WISE 2357+1227,54.8,,2010.0
235,80,DENIS-P J0751164-253043 [de],55.0,1.03,2008.0
236,87,LHS 2021,55.0,1.15,
237,98,2MASSI J1010148-040649 [de],55.0,0.98,2003.0
238,222,WISE 0336-0143,55.4,,2010.0
239,277,WISE 1225-1013,55.4,,2010.0
240,294,WISE 1612-3420,55.4,,2010.0
241,316,WISE 1852+3537,55.4,,2010.0
242,110,OTS 44,554.0,,2005.0
243,183,2MASSW J2244316+204343,56.0,1.29,
244,184,2MASS J23224684-3133231,56.0,1.39,
245,210,WISE 0245-3450,56.1,,2010.0
246,281,WISE 1320+6034,56.1,,2010.0
247,267,WISE 1019+6529,56.8,,2010.0
248,11,2MASSW J0045214+163445,57.0,1.62,
249,211,WISE 0247+3725,57.1,,2010.0
250,234,WISE 0528-3308,57.4,,2010.0
251,201,WISE 0138-0322,57.7,,2010.0
252,239,WISE 0611-0410,57.7,,2010.0
253,271,WISE 1122+2550,57.7,,2010.0
254,205,WISE 0206+2640,58.4,,2010.0
255,330,WISE 2213+0911,58.7,,2010.0
256,39,SDSS J032553.17+042540.1,59.0,0.95,
257,96,2MASS J09490860-1545485 [de],59.0,0.96,2005.0
258,335,WISE 2239+1617,59.7,,2010.0
259,105,Luhman 16B,6.516,1.02,2013.0
260,106,Luhman 16A,6.516,1.01,2013.0
261,74,2MASS J07075327-4900503,60.0,1.03,
262,81,2MASS J07522390+1612157,60.0,68.0,
263,101,2MASS J10224821+5825453 [de],60.0,1.41,2008.0
264,160,LSPM J1658+7027 [de],60.0,1.04,2000.0
265,286,WISE 1436-1814,60.0,,2010.0
266,302,WISE 1711+3500,60.3,,2010.0
267,337,WISE 2301+0216,60.7,,2010.0
268,127,Kelu-1A,61.0,0.98,1997.0
269,128,Kelu-1B,61.0,0.98,1997.0
270,204,WISE 0150+3827,61.3,,2010.0
271,328,WISE 2157+2659,61.6,,2010.0
272,172,2MASSI J2104149-103736,62.0,1.02,
273,304,WISE 1721+1117,62.3,,2010.0
274,196,WISE 0049+0441,62.6,,2010.0
275,192,WISE 0032-4946,62.9,,2010.0
276,111,SDSS J111010.01+011613.1,63.0,1.24,
277,258,WISE 0812+4021,63.6,,2010.0
278,60,2MASS J05012406-0010452 [de],64.0,1.38,2008.0
279,182,2MASS J22373255+3922398,64.0,1.04,
280,241,WISE 0612-3036,64.9,,2010.0
281,264,WISE 0929+0409,64.9,,2010.0
282,22,DENIS-P J020529.0−115925A,65.0,,1997.0
283,23,DENIS-P J020529.0−115925B,65.0,,1997.0
284,24,DENIS-P J020529.0−115925C,65.0,,1997.0
285,71,2MASS J06411840-4322329 [de],65.0,1.01,2008.0
286,130,SDSSp J132629.82-003831.5 [de],65.0,0.97,2000.0
287,169,SDSS J204749.61-071818.3,65.0,0.96,
288,122,DENIS-P J1228.2-1547,66.0,,1999.0
289,227,WISE 0413-4750,66.2,,2010.0
290,83,DENIS J082303.1−491201A,67.0,,2006.0
291,84,DENIS J082303.1−491201B,67.0,,2006.0
292,150,2MASSI J1526140+204341 [de],67.0,0.98,2000.0
293,186,2MASS J23515044-2537367,67.0,1.16,
294,199,WISE 0123+4142,67.2,,2010.0
295,245,WISE 0625+5646,67.2,,2010.0
296,153,2MASSW J1552591+294849 [de],68.0,1.43,2003.0
297,260,WISE 0821+1443,68.2,,2010.0
298,58,2MASS J04510093-3402150 [de],69.0,72.0,2003.0
299,68,WISEP J061135.13-041024.0A,69.0,,2014.0
300,69,WISEP J061135.13-041024.0B,69.0,,2014.0
301,228,WISE 0448-1935,69.8,,2010.0
302,17,2MASSI J0103320+193536,70.0,0.98,
303,21,SDSS J015141.69+124429.6,70.0,0.97,
304,341,WISE 2327-2730,70.8,,2010.0
305,144,CFBDS J150411+102717,71.0,0.94,
306,191,WISE 0031-3840,71.8,,2010.0
307,138,LSPM J1440+1339,72.0,1.19,
308,265,WISE 0952+1955,72.1,,2010.0
309,261,WISE 0836-1859,72.4,,2010.0
310,289,WISE 1517+0529,72.4,,2010.0
311,303,WISE 1717+6129,72.7,,2010.0
312,61,2MASS J05160945-0445499 [de],73.0,0.97,2003.0
313,206,WISE 0221+3842,73.1,,2010.0
314,187,2MASSI J2356547-155310,74.0,1.09,
315,311,WISE 1809+3838,74.4,,2010.0
316,212,WISE 0305+3954,75.0,,2010.0
317,88,SDSS J083048.80+012831.1 [de],77.0,0.96,2004.0
318,200,WISE 0135+1715,77.3,,2010.0
319,251,WISE 0733+7544,78.3,,2010.0
320,162,2MASSW J1728114+394859,79.0,,
321,40,2MASS J03264225-2102057 [de],80.0,1.3,2003.0
322,173,PSO J318.5−22,80.0,1.53,2013.0
323,63,2MASS 0532+8246,81.0,,2018.0
324,56,2MASS J04433764+0002040,82.0,1.78,
325,213,WISE 0307+2904,82.8,,2010.0
326,308,WISE 1746-0338,83.8,,2010.0
327,291,WISE 1523+3125,84.5,,2010.0
328,216,WISE 0321-7347,84.8,,2010.0
329,236,WISE 0539-1034,84.8,,2010.0
330,285,WISE 1433-0837,84.8,,2010.0
331,51,2MASS J04285096-2253227 [de],85.0,1.09,2003.0
332,226,WISE 0410+1411,85.8,,2010.0
333,279,WISE 1311+3629,86.1,,2010.0
334,189,WISE 0008-1739,87.1,,2010.0
335,7,2MASSW J0030300-145033,87.2,0.98,
336,44,2MASP J0345432+254023,88.0,1.05,1997.0
337,114,2MASSW J1146345+223053,89.0,,
338,148,SDSS J151114.66+060742.9 [de],89.0,,2006.0
339,163,SDSSp J175032.96+175903.9,90.0,0.97,
340,342,WISE 2335+4222,90.3,,2010.0
341,208,WISE 0226-0211,91.0,,2010.0
342,283,WISE 1348+6603,91.0,,2010.0
343,178,2MASSW J2206450-421721,93.0,1.33,
344,93,2MASSW J0920122+351742 [de],95.0,,2000.0
345,100,SDSS J102109.69-030420.1,95.0,,
346,240,WISE 0612-4920,95.2,,2010.0
347,15,2MASS J00584253-0651239 [de],96.0,1.43,
348,322,WISE 2014+0424,96.2,,2010.0
349,305,WISE 1728+5716,97.8,,2010.0
350,41,2MASS J03284265+2302051 [de],98.0,0.98,2000.0
351,233,WISE 0525+6739,98.2,,2010.0
